,Adsorbate 1,Adsorbate 2,num of Atoms,Average Atomic num,Average PE,Average Covalent Radius,Average FIE,Average EA,Average num of Valence Electron,PE 1 minus PE 2,Covalent Radius 1 minus Covalent Radius 2,VdW Radius 1 minus VdW Radius 2,FIE 1 minus FIE 2,EA 1 minus EA 2,num of Valence 1 minus num of Valence 2,Average VdW Radius squared,Difference,Gdiff_ML,Gdiff_Final
262,Br,CH,1.5,19.25,2.67,0.84,12.12,2.19,6.0,0.59,0.6,0.4,0.62,2.36,2.0,2.72,-0.01465,-0.014515009708702564,-0.01465
263,Br,CH2,2.0,18.83,2.64,0.8,12.32,2.14,6.5,0.64,0.68,0.48,1.0,2.44,1.0,2.59,-0.0526,-0.052585385739803314,-0.0526
264,Br,CH3,2.5,18.63,2.62,0.79,12.41,2.12,7.0,0.67,0.71,0.53,1.2,2.48,0.0,2.52,,-0.052585385739803314,-0.052585385739803314
265,Br,S,1.0,25.5,2.77,1.09,11.09,2.72,6.5,0.38,0.11,0.05,1.45,1.29,1.0,3.33,,-0.04576439782977104,-0.04576439782977104
266,Br,SH,1.5,21.75,2.68,0.91,11.9,2.39,7.0,0.57,0.46,0.35,0.16,1.95,0.0,2.81,-0.01192,-0.011731219477951527,-0.01192
267,Br,SH2,2.0,20.5,2.64,0.85,12.17,2.28,7.5,0.63,0.58,0.45,0.7,2.17,1.0,2.64,,-0.053434256464242935,-0.053434256464242935
268,Br,F,1.0,22.0,3.47,0.89,14.62,3.38,7.0,1.02,0.5,0.38,5.61,0.04,0.0,2.76,,-0.05568797513842583,-0.05568797513842583
269,Br,Cl,1.0,26.0,3.06,1.07,12.39,3.49,7.0,0.2,0.15,0.1,1.15,0.25,0.0,3.24,-0.018680000000000002,-0.01874670758843422,-0.018680000000000002
270,Br,Br,1.0,35.0,2.96,1.14,11.81,3.36,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3.42,,-0.054103054106235504,-0.054103054106235504
271,Br,I,1.0,44.0,2.81,1.24,11.13,3.21,7.0,0.3,0.19,0.13,1.36,0.3,0.0,3.67,,-0.018709156662225723,-0.018709156662225723
272,I,O,1.0,30.5,3.05,0.98,12.03,2.26,6.5,0.78,0.7,0.46,3.17,1.6,1.0,3.06,,-0.042521633207798004,-0.042521633207798004
273,I,OH,1.5,28.75,2.74,0.91,12.03,2.08,7.0,0.16,0.85,0.62,3.16,1.95,0.0,2.79,,-0.05095745623111725,-0.05095745623111725
274,I,N,1.0,30.0,2.85,1.02,12.49,1.49,6.0,0.38,0.62,0.43,4.08,3.13,2.0,3.12,,-0.005602178163826466,-0.005602178163826466
275,I,NH,1.5,28.5,2.64,0.93,12.26,1.7,6.5,0.04,0.81,0.61,3.62,2.72,1.0,2.81,,-0.047268204391002655,-0.047268204391002655
276,I,NH2,2.0,28.0,2.57,0.89,12.18,1.77,7.0,0.18,0.88,0.66,3.46,2.58,0.0,2.72,,-0.049546465277671814,-0.049546465277671814
277,I,NH3,2.5,27.75,2.54,0.88,12.14,1.8,7.5,0.25,0.91,0.69,3.38,2.51,1.0,2.67,,-0.047525227069854736,-0.047525227069854736
278,I,C,1.0,29.5,2.61,1.04,10.86,2.16,5.5,0.11,0.58,0.28,0.81,1.8,3.0,3.39,,0.05611250177025795,0.05611250177025795
279,I,CH,1.5,28.25,2.52,0.94,11.44,2.03,6.0,0.29,0.79,0.53,1.98,2.05,2.0,2.94,,-0.04094894602894783,-0.04094894602894783
280,I,CH2,2.0,27.83,2.49,0.9,11.63,1.99,6.5,0.34,0.87,0.61,2.37,2.14,1.0,2.8,,-0.03725969418883324,-0.03725969418883324
281,I,CH3,2.5,27.63,2.47,0.88,11.73,1.97,7.0,0.37,0.9,0.66,2.56,2.18,0.0,2.73,,-0.039537955075502396,-0.039537955075502396
282,I,S,1.0,34.5,2.62,1.18,10.41,2.57,6.5,0.08,0.3,0.18,0.09,0.98,1.0,3.57,,-0.025206582620739937,-0.025206582620739937
283,I,SH,1.5,30.75,2.53,1.01,11.22,2.24,7.0,0.27,0.65,0.48,1.53,1.64,0.0,3.03,,-0.04094894602894783,-0.04094894602894783
284,I,SH2,2.0,29.5,2.49,0.95,11.48,2.13,7.5,0.33,0.77,0.58,2.07,1.86,1.0,2.86,,-0.04094894602894783,-0.04094894602894783
285,I,F,1.0,31.0,3.32,0.99,13.94,3.23,7.0,1.32,0.69,0.51,6.97,0.34,0.0,2.98,,-0.053276512771844864,-0.053276512771844864
286,I,Cl,1.0,35.0,2.91,1.16,11.71,3.34,7.0,0.5,0.34,0.23,2.52,0.55,0.0,3.48,,-0.019210243597626686,-0.019210243597626686
287,I,Br,1.0,44.0,2.81,1.24,11.13,3.21,7.0,0.3,0.19,0.13,1.36,0.3,0.0,3.67,,-0.018709156662225723,-0.018709156662225723
288,I,I,1.0,53.0,2.66,1.33,10.45,3.06,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3.92,,-0.0665375292301178,-0.0665375292301178
