,Adsorbate 1,Adsorbate 2,Average Atomic num,Average PE,Average IE,Average num of Valence Electron,PE 1 minus PE 2,Covalent Radius 1 minus Covalent Radius 2,num of Valence 1 minus num of Valence 2,G_CHO - Gco,Ghyd_ML,Ghyd_Final
55,NH,NH2,3.5,2.55,11.79,6.5,0.14,0.07,-1.0,0.25745,0.2570621073246002,0.25745
56,NH,NH3,3.25,2.52,11.44,7.0,0.21,0.1,-2.0,,0.22744622826576233,0.22744622826576233
57,NH,C,5.0,2.59,12.03,5.0,0.07,-0.23,2.0,,0.16441775858402252,0.16441775858402252
58,NH,CH,3.75,2.5,11.72,5.5,0.25,-0.02,1.0,0.10655999999999999,0.10688496381044388,0.10655999999999999
59,NH,CH2,3.33,2.47,11.6,6.0,0.3,0.06,0.0,,0.10947850346565247,0.10947850346565247
60,NH,CH3,3.13,2.45,11.32,6.5,0.33,0.09,-1.0,0.29963,0.3000478744506836,0.29963
61,NH,S,10.0,2.6,11.58,6.0,0.04,-0.51,0.0,,0.12182547152042389,0.12182547152042389
62,NH,SH,6.25,2.51,11.61,6.5,0.23,-0.16,-1.0,,0.25565946102142334,0.25565946102142334
63,NH,SH2,5.0,2.47,11.63,7.0,0.29,-0.04,-2.0,,0.26468512415885925,0.26468512415885925
64,NH,F,6.5,3.3,15.11,6.5,-1.36,-0.12,-1.0,,0.2285960465669632,0.2285960465669632
65,NH,Cl,10.5,2.89,12.89,6.5,-0.54,-0.47,-1.0,,0.23681679368019104,0.23681679368019104
66,NH,Br,19.5,2.79,12.31,6.5,-0.34,-0.62,-1.0,,0.23991191387176514,0.23991191387176514
67,NH,I,28.5,2.64,11.63,6.5,-0.04,-0.81,-1.0,,0.21629852056503296,0.21629852056503296
68,NH2,O,5.5,2.96,12.2,6.5,-0.96,-0.18,1.0,,0.2804969251155853,0.2804969251155853
69,NH2,OH,3.75,2.65,11.9,7.0,-0.34,-0.03,0.0,,0.1879366636276245,0.1879366636276245
70,NH2,N,5.0,2.76,12.66,6.0,-0.56,-0.26,2.0,,0.13039788603782654,0.13039788603782654
71,NH2,NH,3.5,2.55,11.79,6.5,-0.14,-0.07,1.0,0.25745,0.257795512676239,0.25745
72,NH2,NH2,3.0,2.48,10.78,7.0,0.0,0.0,0.0,,0.22893767058849335,0.22893767058849335
73,NH2,NH3,2.75,2.45,10.43,7.5,0.07,0.03,-1.0,,0.22736729681491852,0.22736729681491852
74,NH2,C,4.5,2.52,11.02,5.5,-0.07,-0.3,3.0,0.18925999999999998,0.1889006793498993,0.18925999999999998
75,NH2,CH,3.25,2.43,10.71,6.0,0.11,-0.09,2.0,,0.17714232206344604,0.17714232206344604
76,NH2,CH2,2.83,2.4,10.59,6.5,0.16,-0.01,1.0,,0.29944121837615967,0.29944121837615967
77,NH2,CH3,2.63,2.38,10.31,7.0,0.19,0.02,0.0,,0.2297179251909256,0.2297179251909256
78,NH2,S,9.5,2.53,10.57,6.5,-0.1,-0.58,1.0,0.22685,0.22723063826560974,0.22685
79,NH2,SH,5.75,2.44,10.6,7.0,0.09,-0.23,0.0,,0.26557984948158264,0.26557984948158264
80,NH2,SH2,4.5,2.4,10.62,7.5,0.15,-0.11,-1.0,,0.33184880018234253,0.33184880018234253
81,NH2,F,6.0,3.23,14.1,7.0,-1.5,-0.19,0.0,,0.24097399413585663,0.24097399413585663
82,NH2,Cl,10.0,2.82,11.88,7.0,-0.68,-0.54,0.0,,0.23892620205879211,0.23892620205879211
83,NH2,Br,19.0,2.72,11.3,7.0,-0.48,-0.69,0.0,,0.21000804007053375,0.21000804007053375
84,NH2,I,28.0,2.57,10.62,7.0,-0.18,-0.88,0.0,,0.24257797002792358,0.24257797002792358
85,NH3,O,5.25,2.93,11.85,7.0,-1.03,-0.21,2.0,,0.3647501766681671,0.3647501766681671
86,NH3,OH,3.5,2.62,11.55,7.5,-0.41,-0.06,1.0,0.12011,0.12190896272659302,0.12011
87,NH3,N,4.75,2.73,12.3,6.5,-0.63,-0.29,3.0,,0.3944382071495056,0.3944382071495056
88,NH3,NH,3.25,2.52,11.44,7.0,-0.21,-0.1,2.0,,0.22716327011585236,0.22716327011585236
89,NH3,NH2,2.75,2.45,10.43,7.5,-0.07,-0.03,1.0,,0.22696563601493835,0.22696563601493835
90,NH3,NH3,2.5,2.41,10.07,8.0,0.0,0.0,0.0,,0.2984941303730011,0.2984941303730011
91,NH3,C,4.25,2.48,10.67,6.0,-0.14,-0.33,4.0,0.12082999999999999,0.12112342566251755,0.12082999999999999
92,NH3,CH,3.0,2.39,10.36,6.5,0.04,-0.12,3.0,,0.298199862241745,0.298199862241745
93,NH3,CH2,2.58,2.36,10.24,7.0,0.09,-0.04,2.0,,0.28864598274230957,0.28864598274230957
94,NH3,CH3,2.38,2.35,9.96,7.5,0.12,-0.01,1.0,,0.28757208585739136,0.28757208585739136
95,NH3,S,9.25,2.5,10.22,7.0,-0.17,-0.61,2.0,,0.36158907413482666,0.36158907413482666
96,NH3,SH,5.5,2.4,10.25,7.5,0.02,-0.26,1.0,,0.2639596462249756,0.2639596462249756
97,NH3,SH2,4.25,2.37,10.27,8.0,0.08,-0.14,0.0,,0.15177473425865173,0.15177473425865173
98,NH3,F,5.75,3.2,13.75,7.5,-1.57,-0.22,1.0,,0.29126524925231934,0.29126524925231934
99,NH3,Cl,9.75,2.79,11.52,7.5,-0.75,-0.57,1.0,,0.21425895392894745,0.21425895392894745
100,NH3,Br,18.75,2.69,10.94,7.5,-0.55,-0.72,1.0,,0.20647785067558289,0.20647785067558289
101,NH3,I,27.75,2.54,10.26,7.5,-0.25,-0.91,1.0,,0.23873668909072876,0.23873668909072876
102,C,O,7.0,3.0,12.44,5.0,-0.89,0.12,-2.0,,0.10376926511526108,0.10376926511526108
103,C,OH,5.25,2.69,12.14,5.5,-0.27,0.27,-3.0,0.15317,0.1527414619922638,0.15317
104,C,N,6.5,2.8,12.9,4.5,-0.49,0.04,-1.0,0.09894,0.09920776635408401,0.09894
105,C,NH,5.0,2.59,12.03,5.0,-0.07,0.23,-2.0,,0.16493932902812958,0.16493932902812958
106,C,NH2,4.5,2.52,11.02,5.5,0.07,0.3,-3.0,0.18925999999999998,0.1886008232831955,0.18925999999999998
107,C,NH3,4.25,2.48,10.67,6.0,0.14,0.33,-4.0,0.12082999999999999,0.12219130992889404,0.12082999999999999
108,C,C,6.0,2.55,11.26,4.0,0.0,0.0,0.0,,0.1507476419210434,0.1507476419210434
109,C,CH,4.75,2.46,10.95,4.5,0.18,0.21,-1.0,,0.15149423480033875,0.15149423480033875
110,C,CH2,4.33,2.43,10.83,5.0,0.23,0.29,-2.0,,0.12790904939174652,0.12790904939174652
111,C,CH3,4.13,2.42,10.55,5.5,0.26,0.32,-3.0,,0.12790904939174652,0.12790904939174652
112,C,S,11.0,2.57,10.81,5.0,-0.03,-0.28,-2.0,,0.14657489955425262,0.14657489955425262
113,C,SH,7.25,2.47,10.84,5.5,0.16,0.07,-3.0,,0.14343126118183136,0.14343126118183136
114,C,SH2,6.0,2.44,10.86,6.0,0.22,0.19,-4.0,,0.16130869090557098,0.16130869090557098
115,C,F,7.5,3.27,14.34,5.5,-1.43,0.11,-3.0,,0.09683547914028168,0.09683547914028168
116,C,Cl,11.5,2.86,12.12,5.5,-0.61,-0.24,-3.0,,0.09656738489866257,0.09656738489866257
117,C,Br,20.5,2.76,11.54,5.5,-0.41,-0.39,-3.0,,0.14704686403274536,0.14704686403274536
118,C,I,29.5,2.61,10.86,5.5,-0.11,-0.58,-3.0,,0.14766712486743927,0.14766712486743927
119,CH,O,5.75,2.91,12.13,5.5,-1.07,-0.09,-1.0,,0.12821611762046814,0.12821611762046814
120,CH,OH,4.0,2.6,11.83,6.0,-0.45,0.06,-2.0,0.16787,0.16652673482894897,0.16787
121,CH,N,5.25,2.71,12.59,5.0,-0.67,-0.17,0.0,,0.11903411149978638,0.11903411149978638
122,CH,NH,3.75,2.5,11.72,5.5,-0.25,0.02,-1.0,0.10655999999999999,0.1069636419415474,0.10655999999999999
123,CH,NH2,3.25,2.43,10.71,6.0,-0.11,0.09,-2.0,,0.17851702868938446,0.17851702868938446
124,CH,NH3,3.0,2.39,10.36,6.5,-0.04,0.12,-3.0,,0.2994094789028168,0.2994094789028168
125,CH,C,4.75,2.46,10.95,4.5,-0.18,-0.21,1.0,,0.15340371429920197,0.15340371429920197
126,CH,CH,3.5,2.38,10.64,5.0,0.0,0.0,0.0,,0.11997223645448685,0.11997223645448685
127,CH,CH2,3.08,2.35,10.52,5.5,0.06,0.08,-1.0,,0.14935407042503357,0.14935407042503357
128,CH,CH3,2.88,2.33,10.24,6.0,0.09,0.11,-2.0,,0.06901271641254425,0.06901271641254425
129,CH,S,9.75,2.48,10.5,5.5,-0.21,-0.49,-1.0,,0.1164778470993042,0.1164778470993042
130,CH,SH,6.0,2.38,10.53,6.0,-0.02,-0.14,-2.0,0.16809000000000002,0.16609883308410645,0.16809000000000002
131,CH,SH2,4.75,2.35,10.55,6.5,0.05,-0.02,-3.0,,0.3116403818130493,0.3116403818130493
132,CH,F,6.25,3.18,14.03,6.0,-1.61,-0.1,-2.0,0.0158,0.01704915054142475,0.0158
133,CH,Cl,10.25,2.77,11.81,6.0,-0.79,-0.45,-2.0,0.12548,0.12438659369945526,0.12548
134,CH,Br,19.25,2.67,11.23,6.0,-0.59,-0.6,-2.0,0.11547,0.1153235137462616,0.11547
135,CH,I,28.25,2.52,10.55,6.0,-0.29,-0.79,-2.0,,0.169550821185112,0.169550821185112
136,CH2,O,5.33,2.88,12.01,6.0,-1.12,-0.17,0.0,,0.136616513133049,0.136616513133049
137,CH2,OH,3.58,2.57,11.71,6.5,-0.5,-0.02,-1.0,,0.24721910059452057,0.24721910059452057
138,CH2,N,4.83,2.68,12.47,5.5,-0.72,-0.25,1.0,,0.1197173148393631,0.1197173148393631
139,CH2,NH,3.33,2.47,11.6,6.0,-0.3,-0.06,0.0,,0.1060439869761467,0.1060439869761467
140,CH2,NH2,2.83,2.4,10.59,6.5,-0.16,0.01,-1.0,,0.29807016253471375,0.29807016253471375
141,CH2,NH3,2.58,2.36,10.24,7.0,-0.09,0.04,-2.0,,0.29097479581832886,0.29097479581832886
142,CH2,C,4.33,2.43,10.83,5.0,-0.23,-0.29,2.0,,0.12857629358768463,0.12857629358768463
143,CH2,CH,3.08,2.35,10.52,5.5,-0.06,-0.08,1.0,,0.15041039884090424,0.15041039884090424
144,CH2,CH2,2.67,2.32,10.4,6.0,0.0,0.0,0.0,,0.050978146493434906,0.050978146493434906
145,CH2,CH3,2.46,2.3,10.12,6.5,0.03,0.03,-1.0,,0.24371059238910675,0.24371059238910675
146,CH2,S,9.33,2.45,10.38,6.0,-0.26,-0.57,0.0,,0.13924521207809448,0.13924521207809448
147,CH2,SH,5.58,2.35,10.41,6.5,-0.07,-0.22,-1.0,0.25574,0.25580233335494995,0.25574
148,CH2,SH2,4.33,2.32,10.43,7.0,-0.01,-0.1,-2.0,-0.01241,-0.011186804622411728,-0.01241
149,CH2,F,5.83,3.15,13.91,6.5,-1.66,-0.18,-1.0,,0.25294992327690125,0.25294992327690125
150,CH2,Cl,9.83,2.74,11.69,6.5,-0.84,-0.53,-1.0,,0.22854861617088318,0.22854861617088318
151,CH2,Br,18.83,2.64,11.11,6.5,-0.64,-0.68,-1.0,0.16180999999999998,0.16304315626621246,0.16180999999999998
152,CH2,I,27.83,2.49,10.43,6.5,-0.34,-0.87,-1.0,,0.23409414291381836,0.23409414291381836
153,CH3,O,5.13,2.86,11.73,6.5,-1.15,-0.2,1.0,,0.35458916425704956,0.35458916425704956
