Adsorbate 1,Adsorbate 2,num of NM atoms 1,num of NM atoms 2,num of H 1,num of H 2,Atomic num 1,Atomic num 2,PE 1,PE 2,Covalent Radius 1,Covalent Radius 2,FIE 1,FIE 2,IE 1,IE 2,EA 1,EA 2,VdW Radius 1,VdW Radius 2,num of Valence Electron 1,num of Valence Electron 2,num of Atoms,num of H,Average Atomic num,Average PE,Average Covalent Radius,Average FIE,Average IE,Average EA,Average VdW Radius,Average num of Valence Electron,PE 1 minus PE 2,PE 1 add PE 2,Covalent Radius 1 minus Covalent Radius 2,Covalent Radius 1 add Covalent Radius 2,VdW Radius 1 minus VdW Radius 2,VdW Radius 1 add VdW Radius 2,FIE 1 minus FIE 2,FIE 1 add FIE 2,EA 1 minus EA 2,EA 1 add EA 2,num of Valence 1 minus num of Valence 2,num of Valence 1 add num of Valence 2,IE 1 minus IE 2,IE 1 add IE 2,Average EA of Adsorbates squared,Average PE of Adsorbates squared,Average Covalent Radius of Adosrbates squared,Average FIE of Adsorbates squared,Average VdW Radius squared,Average Atomic num of Adsorbates squared,Average num of Valence Electron squared,Average IE squared,G_CHO - Gco
N,C,1.00,1.00,0.00,0.00,7.00,6.00,3.04,2.55,0.71,0.75,14.53,11.26,14.53,11.26,-0.07,1.26,1.55,1.70,5.00,4.00,1.00,0.00,6.50,2.80,0.73,12.90,12.90,0.60,1.63,4.50,0.49,5.59,-0.04,1.46,-0.15,3.25,3.27,25.79,-1.33,1.19,1.00,9.00,3.27,25.79,0.36,7.81,0.53,166.33,2.64,42.25,20.25,166.28,0.09894
C,N,1.00,1.00,0.00,0.00,6.00,7.00,2.55,3.04,0.75,0.71,11.26,14.53,11.26,14.53,1.26,-0.07,1.70,1.55,4.00,5.00,1.00,0.00,6.50,2.80,0.73,12.90,12.90,0.60,1.63,4.50,-0.49,5.59,0.04,1.46,0.15,3.25,-3.27,25.79,1.33,1.19,-1.00,9.00,-3.27,25.79,0.36,7.81,0.53,166.33,2.64,42.25,20.25,166.28,0.09894
OH,NH3,2.00,4.00,1.00,3.00,4.50,2.50,2.82,2.41,0.48,0.42,13.61,13.83,13.02,10.07,1.11,0.55,1.36,1.29,7.00,8.00,3.00,2.00,3.50,2.62,0.45,13.72,11.55,0.83,1.32,7.50,0.41,5.23,0.06,0.90,0.07,2.65,-0.22,27.44,0.56,1.66,-1.00,15.00,2.95,23.09,0.68,6.84,0.20,188.24,1.75,12.25,56.25,133.29,0.12011
NH3,OH,4.00,2.00,3.00,1.00,2.50,4.50,2.41,2.82,0.42,0.48,13.83,13.61,10.07,13.02,0.55,1.11,1.29,1.36,8.00,7.00,3.00,2.00,3.50,2.62,0.45,13.72,11.55,0.83,1.32,7.50,-0.41,5.23,-0.06,0.90,-0.07,2.65,0.22,27.44,-0.56,1.66,1.00,15.00,-2.95,23.09,0.69,6.84,0.20,188.24,1.75,12.25,56.25,133.29,0.12011
CH,F,2.00,1.00,1.00,0.00,3.50,9.00,2.38,3.98,0.54,0.64,12.43,17.42,10.64,17.42,1.01,3.40,1.45,1.47,5.00,7.00,1.50,0.50,6.25,3.18,0.59,14.93,14.03,2.20,1.46,6.00,-1.61,6.36,-0.10,1.18,-0.02,2.92,-4.99,29.85,-2.39,4.41,-2.00,12.00,-6.78,28.06,4.86,10.10,0.35,222.77,2.13,39.06,36.00,196.84,0.01580
F,CH,1.00,2.00,0.00,1.00,9.00,3.50,3.98,2.38,0.64,0.54,17.42,12.43,17.42,10.64,3.40,1.01,1.47,1.45,7.00,5.00,1.50,0.50,6.25,3.18,0.59,14.93,14.03,2.20,1.46,6.00,1.61,6.36,0.10,1.18,0.02,2.92,4.99,29.85,2.39,4.41,2.00,12.00,6.78,28.06,4.86,10.10,0.35,222.77,2.13,39.06,36.00,196.84,0.01580
OH,SH2,2.00,3.00,1.00,2.00,4.50,6.00,2.82,2.33,0.48,0.56,13.61,12.52,13.02,10.46,1.11,1.20,1.36,1.40,7.00,8.00,2.50,1.50,5.25,2.57,0.52,13.06,11.74,1.15,1.38,7.50,0.49,5.15,-0.08,1.04,-0.04,2.76,1.09,26.13,-0.09,2.30,-1.00,15.00,2.56,23.48,1.33,6.62,0.27,170.65,1.90,27.56,56.25,137.83,0.32325
SH2,OH,3.00,2.00,2.00,1.00,6.00,4.50,2.33,2.82,0.56,0.48,12.52,13.61,10.46,13.02,1.20,1.11,1.40,1.36,8.00,7.00,2.50,1.50,5.25,2.57,0.52,13.06,11.74,1.15,1.38,7.50,-0.49,5.15,0.08,1.04,0.04,2.76,-1.09,26.13,0.09,2.30,1.00,15.00,-2.56,23.48,1.33,6.62,0.27,170.65,1.90,27.56,56.25,137.83,0.32325
SH,SH2,2.00,3.00,1.00,2.00,8.50,6.00,2.39,2.33,0.68,0.56,11.98,12.52,10.42,10.46,1.42,1.20,1.50,1.40,7.00,8.00,2.50,1.50,7.25,2.36,0.62,12.25,10.44,1.31,1.45,7.50,0.06,4.72,0.12,1.24,0.10,2.90,-0.54,24.50,0.22,2.61,-1.00,15.00,-0.04,20.88,1.71,5.56,0.38,150.03,2.10,52.56,56.25,108.99,0.21996
SH2,SH,3.00,2.00,2.00,1.00,6.00,8.50,2.33,2.39,0.56,0.68,12.52,11.98,10.46,10.42,1.20,1.42,1.40,1.50,8.00,7.00,2.50,1.50,7.25,2.36,0.62,12.25,10.44,1.31,1.45,7.50,-0.06,4.72,-0.12,1.24,-0.10,2.90,0.54,24.50,-0.22,2.61,1.00,15.00,0.04,20.88,1.70,5.56,0.38,150.03,2.10,52.56,56.25,108.99,0.21996
